isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS
0,draw,",",",",10,",",PRP,TO,PRP,VBP
0,draw,I,i,11,PRP,",",PRP,VBP,VBN
0,draw,have,have,12,VBP,PRP,",",VBN,DT
0,draw,made,make,13,VBN,VBP,PRP,DT,NN
0,draw,a,a,14,DT,VBN,VBP,NN,IN
1,draw,drawing,draw,15,NN,DT,VBN,IN,DT
0,draw,of,of,16,IN,NN,DT,DT,NN
0,draw,that,that,17,DT,IN,NN,NN,.
0,draw,planet,planet,18,NN,DT,IN,.,XXXX
0,draw,.,.,19,.,NN,DT,XXXX,XXXX
0,like,I,i,0,PRP,XXXX,XXXX,VBP,RB
0,like,do,do,1,VBP,PRP,XXXX,RB,RB
0,like,not,not,2,RB,VBP,PRP,RB,IN
0,like,much,much,3,RB,RB,VBP,IN,TO
1,like,like,like,4,IN,RB,RB,TO,VB
0,like,to,to,5,TO,IN,RB,VB,DT
0,like,take,take,6,VB,TO,IN,DT,NN
0,like,the,the,7,DT,VB,TO,NN,IN
0,like,tone,tone,8,NN,DT,VB,IN,DT
0,like,of,of,9,IN,NN,DT,DT,NN
0,like,a,a,10,DT,IN,NN,NN,.
0,like,moralist,moralist,11,NN,DT,IN,.,XXXX
0,like,.,.,12,.,NN,DT,XXXX,XXXX
0,contrast,But,but,0,CC,XXXX,XXXX,DT,NN
0,contrast,the,the,1,DT,CC,XXXX,NN,IN
0,contrast,danger,danger,2,NN,DT,CC,IN,DT
0,contrast,of,of,3,IN,NN,DT,DT,NN
0,contrast,the,the,4,DT,IN,NN,NN,VBZ
0,contrast,baobabs,baobab,5,NN,DT,IN,VBZ,RB
0,contrast,is,be,6,VBZ,NN,DT,RB,JJ
0,contrast,so,so,7,RB,VBZ,NN,JJ,NN
0,contrast,little,little,8,JJ,RB,VBZ,NN,","
0,contrast,understood,understood,9,NN,JJ,RB,",",CC
0,contrast,",",",",10,",",NN,JJ,CC,JJ
0,contrast,and,and,11,CC,",",NN,JJ,JJ
0,contrast,such,such,12,JJ,CC,",",JJ,NNS
0,contrast,considerable,considerable,13,JJ,JJ,CC,NNS,MD
0,contrast,risks,risk,14,NNS,JJ,JJ,MD,VB
0,contrast,would,would,15,MD,NNS,JJ,VB,VBN
0,contrast,be,be,16,VB,MD,NNS,VBN,IN
0,contrast,run,run,17,VBN,VB,MD,IN,NN
0,contrast,by,by,18,IN,VBN,VB,NN,WP
0,contrast,anyone,anyone,19,NN,IN,VBN,WP,MD
0,contrast,who,who,20,WP,NN,IN,MD,VB
0,contrast,might,might,21,MD,WP,NN,VB,VBN
0,contrast,get,get,22,VB,MD,WP,VBN,IN
0,contrast,lost,lose,23,VBN,VB,MD,IN,DT
0,contrast,on,on,24,IN,VBN,VB,DT,NN
0,contrast,an,an,25,DT,IN,VBN,NN,","
0,contrast,asteroid,asteroid,26,NN,DT,IN,",",IN
0,contrast,",",",",27,",",NN,DT,IN,IN
0,contrast,that,that,28,IN,",",NN,IN,RB
0,contrast,for,for,29,IN,IN,",",RB,PRP
0,contrast,once,once,30,RB,IN,IN,PRP,VBP
0,contrast,I,i,31,PRP,RB,IN,VBP,VBG
0,contrast,am,be,32,VBP,PRP,RB,VBG,IN
0,contrast,breaking,break,33,VBG,VBP,PRP,IN,PRP$
0,contrast,through,through,34,IN,VBG,VBP,PRP$,NN
0,contrast,my,my,35,PRP$,IN,VBG,NN,.
0,contrast,reserve,reserve,36,NN,PRP$,IN,.,XXXX
0,contrast,.,.,37,.,NN,PRP$,XXXX,XXXX
0,child,``,``,0,``,XXXX,XXXX,NNP,","
0,child,Children,children,1,NNP,``,XXXX,",",``
0,child,",",",",2,",",NNP,``,``,XXXX
0,child,``,``,3,``,",",NNP,XXXX,XXXX
0,say,I,i,0,PRP,XXXX,XXXX,VBP,RB
1,say,say,say,1,VBP,PRP,XXXX,RB,","
0,say,plainly,plainly,2,RB,VBP,PRP,",",``
0,say,",",",",3,",",RB,VBP,``,VB
0,say,``,``,4,``,",",RB,VB,RP
0,say,watch,watch,5,VB,``,",",RP,IN
0,say,out,out,6,RP,VB,``,IN,DT
0,say,for,for,7,IN,RP,VB,DT,NN
0,say,the,the,8,DT,IN,RP,NN,.
0,say,baobabs,baobab,9,NN,DT,IN,.,``
0,say,!,!,10,.,NN,DT,``,XXXX
0,say,``,``,11,``,.,NN,XXXX,XXXX
0,cause,My,my,0,PRP$,XXXX,XXXX,NNS,","
0,cause,friends,friend,1,NNS,PRP$,XXXX,",",IN
0,cause,",",",",2,",",NNS,PRP$,IN,PRP
0,cause,like,like,3,IN,",",NNS,PRP,","
0,cause,myself,myself,4,PRP,IN,",",",",VBP
0,cause,",",",",5,",",PRP,IN,VBP,VBN
0,cause,have,have,6,VBP,",",PRP,VBN,VBG
0,cause,been,be,7,VBN,VBP,",",VBG,DT
0,cause,skirting,skirt,8,VBG,VBN,VBP,DT,NN
0,cause,this,this,9,DT,VBG,VBN,NN,IN
0,cause,danger,danger,10,NN,DT,VBG,IN,DT
0,cause,for,for,11,IN,NN,DT,DT,JJ
0,cause,a,a,12,DT,IN,NN,JJ,NN
0,cause,long,long,13,JJ,DT,IN,NN,","
0,cause,time,time,14,NN,JJ,DT,",",IN
0,cause,",",",",15,",",NN,JJ,IN,RB
0,cause,without,without,16,IN,",",NN,RB,VBG
0,cause,ever,ever,17,RB,IN,",",VBG,PRP
0,cause,knowing,know,18,VBG,RB,IN,PRP,:
0,cause,it,it,19,PRP,VBG,RB,:,CC
0,cause,;,;,20,:,PRP,VBG,CC,IN
0,cause,and,and,21,CC,:,PRP,IN,PRP
0,cause,so,so,22,IN,CC,:,PRP,VBZ
0,cause,it,it,23,PRP,IN,CC,VBZ,IN
0,cause,is,be,24,VBZ,PRP,IN,IN,PRP
0,cause,for,for,25,IN,VBZ,PRP,PRP,IN
0,cause,them,them,26,PRP,IN,VBZ,IN,PRP
0,cause,that,that,27,IN,PRP,IN,PRP,VBP
0,cause,I,i,28,PRP,IN,PRP,VBP,VBN
0,cause,have,have,29,VBP,PRP,IN,VBN,RB
0,cause,worked,work,30,VBN,VBP,PRP,RB,RB
0,cause,so,so,31,RB,VBN,VBP,RB,IN
0,cause,hard,hard,32,RB,RB,VBN,IN,DT
0,cause,over,over,33,IN,RB,RB,DT,NN
0,cause,this,this,34,DT,IN,RB,NN,.
0,cause,drawing,draw,35,NN,DT,IN,.,XXXX
0,cause,.,.,36,.,NN,DT,XXXX,XXXX
0,worth,The,the,0,DT,XXXX,XXXX,NN,WDT
0,worth,lesson,lesson,1,NN,DT,XXXX,WDT,PRP
0,worth,which,which,2,WDT,NN,DT,PRP,VBP
0,worth,I,i,3,PRP,WDT,NN,VBP,IN
0,worth,pass,pas,4,VBP,PRP,WDT,IN,IN
0,worth,on,on,5,IN,VBP,PRP,IN,DT
0,worth,by,by,6,IN,IN,VBP,DT,NN
0,worth,this,this,7,DT,IN,IN,NN,VBZ
0,worth,means,mean,8,NN,DT,IN,VBZ,IN
0,worth,is,be,9,VBZ,NN,DT,IN,PDT
1,worth,worth,worth,10,IN,VBZ,NN,PDT,DT
0,worth,all,all,11,PDT,IN,VBZ,DT,NN
0,worth,the,the,12,DT,PDT,IN,NN,PRP
0,worth,trouble,trouble,13,NN,DT,PDT,PRP,VBZ
0,worth,it,it,14,PRP,NN,DT,VBZ,VBN
0,worth,has,have,15,VBZ,PRP,NN,VBN,PRP
0,worth,cost,cost,16,VBN,VBZ,PRP,PRP,.
0,worth,me,me,17,PRP,VBN,VBZ,.,XXXX
0,worth,.,.,18,.,PRP,VBN,XXXX,XXXX
0,possible,Perhaps,perhaps,0,RB,XXXX,XXXX,PRP,MD
0,possible,you,you,1,PRP,RB,XXXX,MD,VB
0,possible,will,will,2,MD,PRP,RB,VB,PRP
0,possible,ask,ask,3,VB,MD,PRP,PRP,","
0,possible,me,me,4,PRP,VB,MD,",",``
0,possible,",",",",5,",",PRP,VB,``,WRB
0,possible,``,``,6,``,",",PRP,WRB,VBP
0,possible,Why,why,7,WRB,``,",",VBP,RB
0,possible,are,be,8,VBP,WRB,``,RB,RB
0,possible,there,there,9,RB,VBP,WRB,RB,JJ
0,possible,no,no,10,RB,RB,VBP,JJ,VBG
0,possible,other,other,11,JJ,RB,RB,VBG,IN
0,possible,drawing,draw,12,VBG,JJ,RB,IN,DT
0,possible,in,in,13,IN,VBG,JJ,DT,NN
0,possible,this,this,14,DT,IN,VBG,NN,IN
0,possible,book,book,15,NN,DT,IN,IN,NN
0,possible,as,a,16,IN,NN,DT,NN,CC
0,possible,magnificent,magnificent,17,NN,IN,NN,CC,JJ
0,possible,and,and,18,CC,NN,IN,JJ,IN
0,possible,impressive,impressive,19,JJ,CC,NN,IN,DT
0,possible,as,a,20,IN,JJ,CC,DT,NN
0,possible,this,this,21,DT,IN,JJ,NN,IN
0,possible,drawing,draw,22,NN,DT,IN,IN,DT
0,possible,of,of,23,IN,NN,DT,DT,NN
0,possible,the,the,24,DT,IN,NN,NN,.
0,possible,baobabs,baobab,25,NN,DT,IN,.,``
0,possible,?,?,26,.,NN,DT,``,XXXX
0,possible,``,``,27,``,.,NN,XXXX,XXXX
0,simple,The,the,0,DT,XXXX,XXXX,NN,VBZ
0,simple,reply,reply,1,NN,DT,XXXX,VBZ,JJ
0,simple,is,be,2,VBZ,NN,DT,JJ,.
1,simple,simple,simple,3,JJ,VBZ,NN,.,XXXX
0,simple,.,.,4,.,JJ,VBZ,XXXX,XXXX
0,try,I,i,0,PRP,XXXX,XXXX,VBP,VBN
0,try,have,have,1,VBP,PRP,XXXX,VBN,.
1,try,tried,try,2,VBN,VBP,PRP,.,XXXX
0,try,.,.,3,.,VBN,VBP,XXXX,XXXX
0,contrast,But,but,0,CC,XXXX,XXXX,IN,DT
0,contrast,with,with,1,IN,CC,XXXX,DT,NNS
0,contrast,the,the,2,DT,IN,CC,NNS,PRP
0,contrast,others,others,3,NNS,DT,IN,PRP,VBP
0,contrast,I,i,4,PRP,NNS,DT,VBP,RB
0,contrast,have,have,5,VBP,PRP,NNS,RB,VBN
0,contrast,not,not,6,RB,VBP,PRP,VBN,JJ
0,contrast,been,be,7,VBN,RB,VBP,JJ,.
0,contrast,successful,successful,8,JJ,VBN,RB,.,XXXX
0,contrast,.,.,9,.,JJ,VBN,XXXX,XXXX
0,carry,When,when,0,WRB,XXXX,XXXX,PRP,VBD
0,carry,I,i,1,PRP,WRB,XXXX,VBD,DT
0,carry,made,make,2,VBD,PRP,WRB,DT,NN
0,carry,the,the,3,DT,VBD,PRP,NN,IN
0,carry,drawing,draw,4,NN,DT,VBD,IN,DT
0,carry,of,of,5,IN,NN,DT,DT,NN
0,carry,the,the,6,DT,IN,NN,NN,PRP
0,carry,baobabs,baobab,7,NN,DT,IN,PRP,VBD
0,carry,I,i,8,PRP,NN,DT,VBD,VBN
0,carry,was,be,9,VBD,PRP,NN,VBN,IN
1,carry,carried,carry,10,VBN,VBD,PRP,IN,PRP
0,carry,beyond,beyond,11,IN,VBN,VBD,PRP,IN
0,carry,myself,myself,12,PRP,IN,VBN,IN,DT
0,carry,by,by,13,IN,PRP,IN,DT,VBG
0,carry,the,the,14,DT,IN,PRP,VBG,NN
0,carry,inspiring,inspire,15,VBG,DT,IN,NN,IN
0,carry,force,force,16,NN,VBG,DT,IN,JJ
0,carry,of,of,17,IN,NN,VBG,JJ,NN
0,carry,urgent,urgent,18,JJ,IN,NN,NN,.
0,carry,necessity,necessity,19,NN,JJ,IN,.,XXXX
0,carry,.,.,20,.,NN,JJ,XXXX,XXXX
1,chapter,Chapter,chapter,0,NN,XXXX,XXXX,CD,.
0,chapter,6,6,1,CD,NN,XXXX,.,XXXX
0,chapter,.,.,2,.,CD,NN,XXXX,XXXX
0,prince,Oh,oh,0,UH,XXXX,XXXX,",",JJ
0,prince,",",",",1,",",UH,XXXX,JJ,NN
0,prince,little,little,2,JJ,",",UH,NN,.
1,prince,prince,prince,3,NN,JJ,",",.,XXXX
0,prince,!,!,4,.,NN,JJ,XXXX,XXXX
0,understand,Bit,bit,0,NNP,XXXX,XXXX,IN,NN
0,understand,by,by,1,IN,NNP,XXXX,NN,PRP
0,understand,bit,bit,2,NN,IN,NNP,PRP,VBD
0,understand,I,i,3,PRP,NN,IN,VBD,TO
0,understand,came,come,4,VBD,PRP,NN,TO,VB
0,understand,to,to,5,TO,VBD,PRP,VB,DT
1,understand,understand,understand,6,VB,TO,VBD,DT,NNS
0,understand,the,the,7,DT,VB,TO,NNS,IN
0,understand,secrets,secret,8,NNS,DT,VB,IN,PRP$
0,understand,of,of,9,IN,NNS,DT,PRP$,JJ
0,understand,your,your,10,PRP$,IN,NNS,JJ,JJ
0,understand,sad,sad,11,JJ,PRP$,IN,JJ,NN
0,understand,little,little,12,JJ,JJ,PRP$,NN,:
0,understand,life,life,13,NN,JJ,JJ,:,XXXX
0,understand,...,...,14,:,NN,JJ,XXXX,XXXX
0,find,For,for,0,IN,XXXX,XXXX,DT,JJ
0,find,a,a,1,DT,IN,XXXX,JJ,NN
0,find,long,long,2,JJ,DT,IN,NN,PRP
0,find,time,time,3,NN,JJ,DT,PRP,VBD
0,find,you,you,4,PRP,NN,JJ,VBD,VBN
0,find,had,have,5,VBD,PRP,NN,VBN,PRP$
0,find,found,found,6,VBN,VBD,PRP,PRP$,JJ
0,find,your,your,7,PRP$,VBN,VBD,JJ,NN
0,find,only,only,8,JJ,PRP$,VBN,NN,IN
0,find,entertainment,entertainment,9,NN,JJ,PRP$,IN,DT
0,find,in,in,10,IN,NN,JJ,DT,JJ
0,find,the,the,11,DT,IN,NN,JJ,NN
0,find,quiet,quiet,12,JJ,DT,IN,NN,IN
0,find,pleasure,pleasure,13,NN,JJ,DT,IN,VBG
0,find,of,of,14,IN,NN,JJ,VBG,IN
0,find,looking,look,15,VBG,IN,NN,IN,DT
0,find,at,at,16,IN,VBG,IN,DT,NN
0,find,the,the,17,DT,IN,VBG,NN,.
0,find,sunset,sunset,18,NN,DT,IN,.,XXXX
0,find,.,.,19,.,NN,DT,XXXX,XXXX
0,learn,I,i,0,PRP,XXXX,XXXX,VBD,IN
1,learn,learned,learn,1,VBD,PRP,XXXX,IN,JJ
0,learn,that,that,2,IN,VBD,PRP,JJ,NN
0,learn,new,new,3,JJ,IN,VBD,NN,IN
0,learn,detail,detail,4,NN,JJ,IN,IN,DT
0,learn,on,on,5,IN,NN,JJ,DT,NN
0,learn,the,the,6,DT,IN,NN,NN,IN
0,learn,morning,morning,7,NN,DT,IN,IN,DT
0,learn,of,of,8,IN,NN,DT,DT,JJ
0,learn,the,the,9,DT,IN,NN,JJ,NN
0,learn,fourth,fourth,10,JJ,DT,IN,NN,","
0,learn,day,day,11,NN,JJ,DT,",",WRB
0,learn,",",",",12,",",NN,JJ,WRB,PRP
0,learn,when,when,13,WRB,",",NN,PRP,VBD
0,learn,you,you,14,PRP,WRB,",",VBD,TO
0,learn,said,say,15,VBD,PRP,WRB,TO,PRP
0,learn,to,to,16,TO,VBD,PRP,PRP,:
0,learn,me,me,17,PRP,TO,VBD,:,``
0,learn,:,:,18,:,PRP,TO,``,PRP
0,learn,``,``,19,``,:,PRP,PRP,VBP
0,learn,I,i,20,PRP,``,:,VBP,RB
0,learn,am,be,21,VBP,PRP,``,RB,NN
0,learn,very,very,22,RB,VBP,PRP,NN,IN
0,learn,fond,fond,23,NN,RB,VBP,IN,NNS
0,learn,of,of,24,IN,NN,RB,NNS,.
0,learn,sunsets,sunset,25,NNS,IN,NN,.,XXXX
0,learn,.,.,26,.,NNS,IN,XXXX,XXXX
0,and,Come,come,0,NNP,XXXX,XXXX,",",VB
0,and,",",",",1,",",NNP,XXXX,VB,PRP
0,and,let,let,2,VB,",",NNP,PRP,VB
0,and,us,u,3,PRP,VB,",",VB,NN
0,and,go,go,4,VB,PRP,VB,NN,IN
0,and,look,look,5,NN,VB,PRP,IN,DT
0,and,at,at,6,IN,NN,VB,DT,NN
0,and,a,a,7,DT,IN,NN,NN,RB
0,and,sunset,sunset,8,NN,DT,IN,RB,.
0,and,now,now,9,RB,NN,DT,.,``
0,and,.,.,10,.,RB,NN,``,XXXX
0,and,``,``,11,``,.,RB,XXXX,XXXX
0,contrast,``,``,0,``,XXXX,XXXX,CC,PRP
0,contrast,But,but,1,CC,``,XXXX,PRP,MD
0,contrast,we,we,2,PRP,CC,``,MD,VB
0,contrast,must,must,3,MD,PRP,CC,VB,","
0,contrast,wait,wait,4,VB,MD,PRP,",",``
0,contrast,",",",",5,",",VB,MD,``,XXXX
0,contrast,``,``,6,``,",",VB,XXXX,XXXX
0,say,I,i,0,PRP,XXXX,XXXX,VBD,.
1,say,said,say,1,VBD,PRP,XXXX,.,XXXX
0,say,.,.,2,.,VBD,PRP,XXXX,XXXX
0,wait,``,``,0,``,XXXX,XXXX,VB,.
1,wait,Wait,wait,1,VB,``,XXXX,.,XXXX
0,wait,?,?,2,.,VB,``,XXXX,XXXX
0,wait,For,for,0,IN,XXXX,XXXX,WP,.
0,wait,what,what,1,WP,IN,XXXX,.,``
0,wait,?,?,2,.,WP,IN,``,XXXX
0,wait,``,``,3,``,.,WP,XXXX,XXXX
0,wait,``,``,0,``,XXXX,XXXX,IN,DT
0,wait,For,for,1,IN,``,XXXX,DT,NN
0,wait,the,the,2,DT,IN,``,NN,.
0,wait,sunset,sunset,3,NN,DT,IN,.,XXXX
0,wait,.,.,4,.,NN,DT,XXXX,XXXX
0,obligate,We,we,0,PRP,XXXX,XXXX,MD,VB
0,obligate,must,must,1,MD,PRP,XXXX,VB,IN
0,obligate,wait,wait,2,VB,MD,PRP,IN,PRP
0,obligate,until,until,3,IN,VB,MD,PRP,VBZ
0,obligate,it,it,4,PRP,IN,VB,VBZ,NN
0,obligate,is,be,5,VBZ,PRP,IN,NN,.
0,obligate,time,time,6,NN,VBZ,PRP,.,``
0,obligate,.,.,7,.,NN,VBZ,``,XXXX
0,obligate,``,``,8,``,.,NN,XXXX,XXXX
0,seem,At,at,0,IN,XXXX,XXXX,JJ,PRP
0,seem,first,first,1,JJ,IN,XXXX,PRP,VBD
0,seem,you,you,2,PRP,JJ,IN,VBD,TO
1,seem,seemed,seem,3,VBD,PRP,JJ,TO,VB
0,seem,to,to,4,TO,VBD,PRP,VB,RB
0,seem,be,be,5,VB,TO,VBD,RB,JJ
0,seem,very,very,6,RB,VB,TO,JJ,VBN
0,seem,much,much,7,JJ,RB,VB,VBN,.
0,seem,surprised,surprised,8,VBN,JJ,RB,.,XXXX
0,seem,.,.,9,.,VBN,JJ,XXXX,XXXX
1,and,And,and,0,CC,XXXX,XXXX,RB,PRP
0,and,then,then,1,RB,CC,XXXX,PRP,VBP
0,and,you,you,2,PRP,RB,CC,VBP,TO
0,and,laughed,laugh,3,VBP,PRP,RB,TO,PRP
0,and,to,to,4,TO,VBP,PRP,PRP,.
0,and,yourself,yourself,5,PRP,TO,VBP,.,XXXX
0,and,.,.,6,.,PRP,TO,XXXX,XXXX
0,say,You,you,0,PRP,XXXX,XXXX,VBD,TO
1,say,said,say,1,VBD,PRP,XXXX,TO,PRP
0,say,to,to,2,TO,VBD,PRP,PRP,:
0,say,me,me,3,PRP,TO,VBD,:,``
0,say,:,:,4,:,PRP,TO,``,PRP
0,say,``,``,5,``,:,PRP,PRP,VBP
0,say,I,i,6,PRP,``,:,VBP,RB
0,say,am,be,7,VBP,PRP,``,RB,VBG
0,say,always,always,8,RB,VBP,PRP,VBG,IN
0,say,thinking,think,9,VBG,RB,VBP,IN,PRP
0,say,that,that,10,IN,VBG,RB,PRP,VBP
0,say,I,i,11,PRP,IN,VBG,VBP,IN
0,say,am,be,12,VBP,PRP,IN,IN,NN
0,say,at,at,13,IN,VBP,PRP,NN,.
0,say,home,home,14,NN,IN,VBP,.,``
0,say,!,!,15,.,NN,IN,``,XXXX
0,say,``,``,16,``,.,NN,XXXX,XXXX
0,so,Just,just,0,RB,XXXX,XXXX,RB,.
1,so,so,so,1,RB,RB,XXXX,.,XXXX
0,so,.,.,2,.,RB,RB,XXXX,XXXX
0,know,Everybody,everybody,0,NN,XXXX,XXXX,VBZ,IN
1,know,knows,know,1,VBZ,NN,XXXX,IN,WRB
0,know,that,that,2,IN,VBZ,NN,WRB,PRP
0,know,when,when,3,WRB,IN,VBZ,PRP,VBZ
0,know,it,it,4,PRP,WRB,IN,VBZ,RB
0,know,is,be,5,VBZ,PRP,WRB,RB,IN
0,know,noon,noon,6,RB,VBZ,PRP,IN,DT
0,know,in,in,7,IN,RB,VBZ,DT,NNP
0,know,the,the,8,DT,IN,RB,NNP,NNPS
0,know,United,united,9,NNP,DT,IN,NNPS,DT
0,know,States,states,10,NNPS,NNP,DT,DT,NN
0,know,the,the,11,DT,NNPS,NNP,NN,VBZ
0,know,sun,sun,12,NN,DT,NNPS,VBZ,VBG
0,know,is,be,13,VBZ,NN,DT,VBG,RP
0,know,setting,set,14,VBG,VBZ,NN,RP,NNP
0,know,over,over,15,RP,VBG,VBZ,NNP,.
0,know,France,france,16,NNP,RP,VBG,.,XXXX
0,know,.,.,17,.,NNP,RP,XXXX,XXXX
0,possible,If,if,0,IN,XXXX,XXXX,PRP,MD
0,possible,you,you,1,PRP,IN,XXXX,MD,VB
0,possible,could,could,2,MD,PRP,IN,VB,TO
0,possible,fly,fly,3,VB,MD,PRP,TO,NNP
0,possible,to,to,4,TO,VB,MD,NNP,IN
0,possible,France,france,5,NNP,TO,VB,IN,CD
0,possible,in,in,6,IN,NNP,TO,CD,NN
0,possible,one,one,7,CD,IN,NNP,NN,","
0,possible,minute,minute,8,NN,CD,IN,",",PRP
0,possible,",",",",9,",",NN,CD,PRP,MD
0,possible,you,you,10,PRP,",",NN,MD,VB
0,possible,could,could,11,MD,PRP,",",VB,RB
0,possible,go,go,12,VB,MD,PRP,RB,IN
0,possible,straight,straight,13,RB,VB,MD,IN,DT
0,possible,into,into,14,IN,RB,VB,DT,NN
0,possible,the,the,15,DT,IN,RB,NN,","
0,possible,sunset,sunset,16,NN,DT,IN,",",RB
0,possible,",",",",17,",",NN,DT,RB,IN
0,possible,right,right,18,RB,",",NN,IN,NN
0,possible,from,from,19,IN,RB,",",NN,.
0,possible,noon,noon,20,NN,IN,RB,.,XXXX
0,possible,.,.,21,.,NN,IN,XXXX,XXXX
0,fortunate,Unfortunately,unfortunately,0,RB,XXXX,XXXX,",",NNP
0,fortunate,",",",",1,",",RB,XXXX,NNP,VBZ
0,fortunate,France,france,2,NNP,",",RB,VBZ,RB
0,fortunate,is,be,3,VBZ,NNP,",",RB,RB
0,fortunate,too,too,4,RB,VBZ,NNP,RB,RB
0,fortunate,far,far,5,RB,RB,VBZ,RB,IN
0,fortunate,away,away,6,RB,RB,RB,IN,DT
0,fortunate,for,for,7,IN,RB,RB,DT,.
0,fortunate,that,that,8,DT,IN,RB,.,XXXX
0,fortunate,.,.,9,.,DT,IN,XXXX,XXXX
0,say,But,but,0,CC,XXXX,XXXX,IN,PRP$
0,say,on,on,1,IN,CC,XXXX,PRP$,JJ
0,say,your,your,2,PRP$,IN,CC,JJ,NN
0,say,tiny,tiny,3,JJ,PRP$,IN,NN,","
0,say,planet,planet,4,NN,JJ,PRP$,",",PRP$
0,say,",",",",5,",",NN,JJ,PRP$,JJ
0,say,my,my,6,PRP$,",",NN,JJ,NN
0,say,little,little,7,JJ,PRP$,",",NN,","
0,say,prince,prince,8,NN,JJ,PRP$,",",DT
0,say,",",",",9,",",NN,JJ,DT,PRP
0,say,all,all,10,DT,",",NN,PRP,VBP
0,say,you,you,11,PRP,DT,",",VBP,VB
0,say,need,need,12,VBP,PRP,DT,VB,VBZ
0,say,do,do,13,VB,VBP,PRP,VBZ,VB
0,say,is,be,14,VBZ,VB,VBP,VB,PRP$
0,say,move,move,15,VB,VBZ,VB,PRP$,NN
0,say,your,your,16,PRP$,VB,VBZ,NN,DT
0,say,chair,chair,17,NN,PRP$,VB,DT,JJ
0,say,a,a,18,DT,NN,PRP$,JJ,NNS
0,say,few,few,19,JJ,DT,NN,NNS,.
0,say,steps,step,20,NNS,JJ,DT,.,XXXX
0,say,.,.,21,.,NNS,JJ,XXXX,XXXX
0,possible,You,you,0,PRP,XXXX,XXXX,MD,VB
0,possible,can,can,1,MD,PRP,XXXX,VB,DT
0,possible,see,see,2,VB,MD,PRP,DT,NN
0,possible,the,the,3,DT,VB,MD,NN,NN
0,possible,day,day,4,NN,DT,VB,NN,CC
0,possible,end,end,5,NN,NN,DT,CC,DT
0,possible,and,and,6,CC,NN,NN,DT,NN
0,possible,the,the,7,DT,CC,NN,NN,VBG
0,possible,twilight,twilight,8,NN,DT,CC,VBG,WRB
0,possible,falling,fall,9,VBG,NN,DT,WRB,PRP
0,possible,whenever,whenever,10,WRB,VBG,NN,PRP,IN
0,possible,you,you,11,PRP,WRB,VBG,IN,:
0,possible,like,like,12,IN,PRP,WRB,:,XXXX
0,possible,...,...,13,:,IN,PRP,XXXX,XXXX
0,say,``,``,0,``,XXXX,XXXX,CD,NN
0,say,One,one,1,CD,``,XXXX,NN,","
0,say,day,day,2,NN,CD,``,",",``
0,say,",",",",3,",",NN,CD,``,PRP
0,say,``,``,4,``,",",NN,PRP,VBD
0,say,you,you,5,PRP,``,",",VBD,TO
1,say,said,say,6,VBD,PRP,``,TO,PRP
0,say,to,to,7,TO,VBD,PRP,PRP,","
0,say,me,me,8,PRP,TO,VBD,",",``
0,say,",",",",9,",",PRP,TO,``,PRP
0,say,``,``,10,``,",",PRP,PRP,VBD
0,say,I,i,11,PRP,``,",",VBD,DT
0,say,saw,saw,12,VBD,PRP,``,DT,NN
0,say,the,the,13,DT,VBD,PRP,NN,SYM
0,say,sunset,sunset,14,NN,DT,VBD,SYM,:
0,say,forty,forty,15,SYM,NN,DT,:,CD
0,say,-,-,16,:,SYM,NN,CD,NNS
0,say,four,four,17,CD,:,SYM,NNS,.
0,say,times,time,18,NNS,CD,:,.,``
0,say,!,!,19,.,NNS,CD,``,XXXX
0,say,``,``,20,``,.,NNS,XXXX,XXXX
1,and,And,and,0,CC,XXXX,XXXX,DT,JJ
0,and,a,a,1,DT,CC,XXXX,JJ,RB
0,and,little,little,2,JJ,DT,CC,RB,PRP
0,and,later,later,3,RB,JJ,DT,PRP,VBD
0,and,you,you,4,PRP,RB,JJ,VBD,:
0,and,added,add,5,VBD,PRP,RB,:,``
0,and,:,:,6,:,VBD,PRP,``,PRP
0,and,``,``,7,``,:,VBD,PRP,VBP
0,and,You,you,8,PRP,``,:,VBP,:
0,and,know,know,9,VBP,PRP,``,:,CD
0,and,--,--,10,:,VBP,PRP,CD,VBZ
0,and,one,one,11,CD,:,VBP,VBZ,DT
0,and,loves,love,12,VBZ,CD,:,DT,NN
0,and,the,the,13,DT,VBZ,CD,NN,","
0,and,sunset,sunset,14,NN,DT,VBZ,",",WRB
0,and,",",",",15,",",NN,DT,WRB,CD
0,and,when,when,16,WRB,",",NN,CD,VBZ
0,and,one,one,17,CD,WRB,",",VBZ,RB
0,and,is,be,18,VBZ,CD,WRB,RB,JJ
0,and,so,so,19,RB,VBZ,CD,JJ,:
0,and,sad,sad,20,JJ,RB,VBZ,:,``
0,and,...,...,21,:,JJ,RB,``,XXXX
0,and,``,``,22,``,:,JJ,XXXX,XXXX
0,sad,``,``,0,``,XXXX,XXXX,WRB,PRP
0,sad,Were,were,1,WRB,``,XXXX,PRP,RB
0,sad,you,you,2,PRP,WRB,``,RB,JJ
0,sad,so,so,3,RB,PRP,WRB,JJ,","
1,sad,sad,sad,4,JJ,RB,PRP,",",RB
0,sad,",",",",5,",",JJ,RB,RB,.
0,sad,then,then,6,RB,",",JJ,.,``
0,sad,?,?,7,.,RB,",",``,XXXX
0,sad,``,``,8,``,.,RB,XXXX,XXXX
