word,normalized_words,focus,index,POS,-1POS,-2POS,+1POS,+2POS
``,``,0,6,``,.,NN,N/A,N/A
``,``,0,0,``,N/A,N/A,NNP,PRP
May,may,0,1,NNP,``,N/A,PRP,VBP
I,i,0,2,PRP,NNP,``,VBP,RP
sit,sit,0,3,VBP,PRP,NNP,RP,.
down,down,0,4,RP,VBP,PRP,.,``
?,?,0,5,.,RP,VBP,``,VBD
``,``,0,6,``,.,RP,VBD,RB
came,come,0,7,VBD,``,.,RB,DT
now,now,0,8,RB,VBD,``,DT,JJ
a,a,0,9,DT,RB,VBD,JJ,NN
timid,timid,0,10,JJ,DT,RB,NN,IN
inquiry,inquiry,0,11,NN,JJ,DT,IN,DT
from,from,0,12,IN,NN,JJ,DT,JJ
the,the,0,13,DT,IN,NN,JJ,NN
little,little,0,14,JJ,DT,IN,NN,.
prince,prince,0,15,NN,JJ,DT,.,N/A
.,.,0,16,.,NN,JJ,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,NN
I,i,0,1,PRP,``,N/A,NN,PRP
order,order,0,2,NN,PRP,``,PRP,TO
you,you,0,3,PRP,NN,PRP,TO,VB
to,to,0,4,TO,PRP,NN,VB,RB
do,do,0,5,VB,TO,PRP,RB,","
so,so,0,6,RB,VB,TO,",",``
",",",",0,7,",",RB,VB,``,DT
``,``,0,8,``,",",RB,DT,NN
the,the,0,9,DT,``,",",NN,VBD
king,king,0,10,NN,DT,``,VBD,PRP
answered,answer,0,11,VBD,NN,DT,PRP,","
him,him,0,12,PRP,VBD,NN,",",CC
",",",",0,13,",",PRP,VBD,CC,RB
and,and,1,14,CC,",",PRP,RB,VBN
majestically,majestically,0,15,RB,CC,",",VBN,IN
gathered,gather,0,16,VBN,RB,CC,IN,DT
in,in,0,17,IN,VBN,RB,DT,NN
a,a,0,18,DT,IN,VBN,NN,IN
fold,fold,0,19,NN,DT,IN,IN,PRP$
of,of,0,20,IN,NN,DT,PRP$,JJ
his,his,0,21,PRP$,IN,NN,JJ,NN
ermine,ermine,0,22,JJ,PRP$,IN,NN,.
mantle,mantle,0,23,NN,JJ,PRP$,.,N/A
.,.,0,24,.,NN,JJ,N/A,N/A
But,but,0,0,CC,N/A,N/A,DT,JJ
the,the,0,1,DT,CC,N/A,JJ,NN
little,little,0,2,JJ,DT,CC,NN,VBD
prince,prince,0,3,NN,JJ,DT,VBD,VBG
was,be,0,4,VBD,NN,JJ,VBG,:
wondering,wonder,1,5,VBG,VBD,NN,:,N/A
...,...,0,6,:,VBG,VBD,N/A,N/A
The,the,0,0,DT,N/A,N/A,NN,VBD
planet,planet,0,1,NN,DT,N/A,VBD,JJ
was,be,0,2,VBD,NN,DT,JJ,.
tiny,tiny,1,3,JJ,VBD,NN,.,N/A
.,.,0,4,.,JJ,VBD,N/A,N/A
Over,over,0,0,IN,N/A,N/A,WP,MD
what,what,0,1,WP,IN,N/A,MD,DT
could,could,0,2,MD,WP,IN,DT,VBG
this,this,0,3,DT,MD,WP,VBG,RB
king,king,0,4,VBG,DT,MD,RB,VB
really,really,0,5,RB,VBG,DT,VB,.
rule,rule,0,6,VB,RB,VBG,.,N/A
?,?,0,7,.,VB,RB,N/A,N/A
``,``,0,0,``,N/A,N/A,NNP,","
Sire,sire,0,1,NNP,``,N/A,",",``
",",",",0,2,",",NNP,``,``,PRP
``,``,0,3,``,",",NNP,PRP,VBD
he,he,0,4,PRP,``,",",VBD,TO
said,say,1,5,VBD,PRP,``,TO,PRP
to,to,0,6,TO,VBD,PRP,PRP,","
him,him,0,7,PRP,TO,VBD,",",``
",",",",0,8,",",PRP,TO,``,PRP
``,``,0,9,``,",",PRP,PRP,VBP
I,i,0,10,PRP,``,",",VBP,IN
beg,beg,0,11,VBP,PRP,``,IN,PRP
that,that,0,12,IN,VBP,PRP,PRP,MD
you,you,0,13,PRP,IN,VBP,MD,VB
will,will,0,14,MD,PRP,IN,VB,PRP$
excuse,excuse,0,15,VB,MD,PRP,PRP$,VBG
my,my,0,16,PRP$,VB,MD,VBG,PRP
asking,ask,0,17,VBG,PRP$,VB,PRP,DT
you,you,0,18,PRP,VBG,PRP$,DT,NN
a,a,0,19,DT,PRP,VBG,NN,:
question,question,0,20,NN,DT,PRP,:,:
-,-,0,21,:,NN,DT,:,``
-,-,0,22,:,:,NN,``,N/A
``,``,0,23,``,:,:,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,NN
I,i,0,1,PRP,``,N/A,NN,PRP
order,order,0,2,NN,PRP,``,PRP,TO
you,you,0,3,PRP,NN,PRP,TO,VB
to,to,0,4,TO,PRP,NN,VB,PRP
ask,ask,0,5,VB,TO,PRP,PRP,DT
me,me,0,6,PRP,VB,TO,DT,NN
a,a,0,7,DT,PRP,VB,NN,","
question,question,0,8,NN,DT,PRP,",",``
",",",",0,9,",",NN,DT,``,DT
``,``,0,10,``,",",NN,DT,NN
the,the,0,11,DT,``,",",NN,VBD
king,king,0,12,NN,DT,``,VBD,TO
hastened,hasten,1,13,VBD,NN,DT,TO,VB
to,to,0,14,TO,VBD,NN,VB,PRP
assure,assure,0,15,VB,TO,VBD,PRP,.
him,him,0,16,PRP,VB,TO,.,N/A
.,.,0,17,.,PRP,VB,N/A,N/A
``,``,0,0,``,N/A,N/A,NNP,:
Sire,sire,0,1,NNP,``,N/A,:,:
-,-,0,2,:,NNP,``,:,IN
-,-,0,3,:,:,NNP,IN,WP
over,over,0,4,IN,:,:,WP,VBP
what,what,0,5,WP,IN,:,VBP,PRP
do,do,0,6,VBP,WP,IN,PRP,VB
you,you,0,7,PRP,VBP,WP,VB,.
rule,rule,0,8,VB,PRP,VBP,.,``
?,?,0,9,.,VB,PRP,``,N/A
``,``,0,10,``,.,VB,N/A,N/A
``,``,0,0,``,N/A,N/A,IN,NN
Over,over,0,1,IN,``,N/A,NN,","
everything,everything,0,2,NN,IN,``,",",``
",",",",0,3,",",NN,IN,``,VBD
``,``,0,4,``,",",NN,VBD,DT
said,say,1,5,VBD,``,",",DT,NN
the,the,0,6,DT,VBD,``,NN,","
king,king,0,7,NN,DT,VBD,",",IN
",",",",0,8,",",NN,DT,IN,JJ
with,with,0,9,IN,",",NN,JJ,NN
magnificent,magnificent,0,10,JJ,IN,",",NN,.
simplicity,simplicity,0,11,NN,JJ,IN,.,N/A
.,.,0,12,.,NN,JJ,N/A,N/A
``,``,0,0,``,N/A,N/A,IN,NN
Over,over,1,1,IN,``,N/A,NN,.
everything,everything,0,2,NN,IN,``,.,``
?,?,0,3,.,NN,IN,``,N/A
``,``,0,4,``,.,NN,N/A,N/A
The,the,0,0,DT,N/A,N/A,NN,VBD
king,king,0,1,NN,DT,N/A,VBD,DT
made,make,0,2,VBD,NN,DT,DT,NN
a,a,0,3,DT,VBD,NN,NN,","
gesture,gesture,1,4,NN,DT,VBD,",",WDT
",",",",0,5,",",NN,DT,WDT,VBD
which,which,0,6,WDT,",",NN,VBD,IN
took,take,0,7,VBD,WDT,",",IN,PRP$
in,in,0,8,IN,VBD,WDT,PRP$,NN
his,his,0,9,PRP$,IN,VBD,NN,","
planet,planet,0,10,NN,PRP$,IN,",",DT
",",",",0,11,",",NN,PRP$,DT,JJ
the,the,0,12,DT,",",NN,JJ,NNS
other,other,0,13,JJ,DT,",",NNS,","
planets,planet,0,14,NNS,JJ,DT,",",CC
",",",",0,15,",",NNS,JJ,CC,PDT
and,and,0,16,CC,",",NNS,PDT,DT
all,all,0,17,PDT,CC,",",DT,NNS
the,the,0,18,DT,PDT,CC,NNS,.
stars,star,0,19,NNS,DT,PDT,.,N/A
.,.,0,20,.,NNS,DT,N/A,N/A
``,``,0,0,``,N/A,N/A,IN,DT
Over,over,0,1,IN,``,N/A,DT,WDT
all,all,0,2,DT,IN,``,WDT,.
that,that,0,3,WDT,DT,IN,.,``
?,?,0,4,.,WDT,DT,``,VBD
``,``,0,5,``,.,WDT,VBD,DT
asked,ask,1,6,VBD,``,.,DT,JJ
the,the,0,7,DT,VBD,``,JJ,NN
little,little,0,8,JJ,DT,VBD,NN,.
prince,prince,0,9,NN,JJ,DT,.,N/A
.,.,0,10,.,NN,JJ,N/A,N/A
``,``,0,0,``,N/A,N/A,IN,DT
Over,over,0,1,IN,``,N/A,DT,DT
all,all,0,2,DT,IN,``,DT,","
that,that,0,3,DT,DT,IN,",",``
",",",",0,4,",",DT,DT,``,DT
``,``,0,5,``,",",DT,DT,NN
the,the,0,6,DT,``,",",NN,VBD
king,king,0,7,NN,DT,``,VBD,.
answered,answer,1,8,VBD,NN,DT,.,N/A
.,.,0,9,.,VBD,NN,N/A,N/A
For,for,0,0,IN,N/A,N/A,PRP$,NN
his,his,0,1,PRP$,IN,N/A,NN,VBD
rule,rule,0,2,NN,PRP$,IN,VBD,RB
was,be,0,3,VBD,NN,PRP$,RB,RB
not,not,0,4,RB,VBD,NN,RB,VBZ
only,only,0,5,RB,RB,VBD,VBZ,:
absolute,absolute,0,6,VBZ,RB,RB,:,PRP
:,:,0,7,:,VBZ,RB,PRP,VBD
it,it,0,8,PRP,:,VBZ,VBD,RB
was,be,0,9,VBD,PRP,:,RB,JJ
also,also,0,10,RB,VBD,PRP,JJ,.
universal,universal,0,11,JJ,RB,VBD,.,N/A
.,.,0,12,.,JJ,RB,N/A,N/A
``,``,0,0,``,N/A,N/A,CC,DT
And,and,0,1,CC,``,N/A,DT,NNS
the,the,0,2,DT,CC,``,NNS,IN
stars,star,0,3,NNS,DT,CC,IN,PRP
obey,obey,1,4,IN,NNS,DT,PRP,.
you,you,0,5,PRP,IN,NNS,.,``
?,?,0,6,.,PRP,IN,``,N/A
``,``,0,7,``,.,PRP,N/A,N/A
``,``,0,0,``,N/A,N/A,RB,PRP
Certainly,certainly,0,1,RB,``,N/A,PRP,VBP
they,they,0,2,PRP,RB,``,VBP,","
do,do,0,3,VBP,PRP,RB,",",``
",",",",0,4,",",VBP,PRP,``,DT
``,``,0,5,``,",",VBP,DT,NN
the,the,0,6,DT,``,",",NN,VBD
king,king,0,7,NN,DT,``,VBD,.
said,say,1,8,VBD,NN,DT,.,N/A
.,.,0,9,.,VBD,NN,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,VBP
They,they,0,1,PRP,``,N/A,VBP,RB
obey,obey,1,2,VBP,PRP,``,RB,.
instantly,instantly,0,3,RB,VBP,PRP,.,N/A
.,.,0,4,.,RB,VBP,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBP,RB
do,do,0,1,VBP,PRP,N/A,RB,VB
not,not,0,2,RB,VBP,PRP,VB,NN
permit,permit,1,3,VB,RB,VBP,NN,.
insubordination,insubordination,0,4,NN,VB,RB,.,``
.,.,0,5,.,NN,VB,``,N/A
``,``,0,6,``,.,NN,N/A,N/A
Such,such,0,0,JJ,N/A,N/A,NN,VBD
power,power,0,1,NN,JJ,N/A,VBD,DT
was,be,0,2,VBD,NN,JJ,DT,NN
a,a,0,3,DT,VBD,NN,NN,IN
thing,thing,0,4,NN,DT,VBD,IN,DT
for,for,0,5,IN,NN,DT,DT,JJ
the,the,0,6,DT,IN,NN,JJ,NN
little,little,0,7,JJ,DT,IN,NN,TO
prince,prince,0,8,NN,JJ,DT,TO,VB
to,to,0,9,TO,NN,JJ,VB,IN
marvel,marvel,1,10,VB,TO,NN,IN,.
at,at,0,11,IN,VB,TO,.,N/A
.,.,0,12,.,IN,VB,N/A,N/A
If,if,0,0,IN,N/A,N/A,PRP,VBD
he,he,0,1,PRP,IN,N/A,VBD,VBN
had,have,0,2,VBD,PRP,IN,VBN,RB
been,be,0,3,VBN,VBD,PRP,RB,IN
master,master,0,4,RB,VBN,VBD,IN,JJ
of,of,0,5,IN,RB,VBN,JJ,JJ
such,such,0,6,JJ,IN,RB,JJ,NN
complete,complete,0,7,JJ,JJ,IN,NN,","
authority,authority,0,8,NN,JJ,JJ,",",PRP
",",",",0,9,",",NN,JJ,PRP,MD
he,he,0,10,PRP,",",NN,MD,VB
would,would,0,11,MD,PRP,",",VB,VBN
have,have,0,12,VB,MD,PRP,VBN,JJ
been,be,0,13,VBN,VB,MD,JJ,TO
able,able,0,14,JJ,VBN,VB,TO,VB
to,to,0,15,TO,JJ,VBN,VB,DT
watch,watch,0,16,VB,TO,JJ,DT,NN
the,the,0,17,DT,VB,TO,NN,","
sunset,sunset,0,18,NN,DT,VB,",",RB
",",",",0,19,",",NN,DT,RB,SYM
not,not,0,20,RB,",",NN,SYM,:
forty,forty,0,21,SYM,RB,",",:,CD
-,-,0,22,:,SYM,RB,CD,NNS
four,four,0,23,CD,:,SYM,NNS,IN
times,time,0,24,NNS,CD,:,IN,CD
in,in,0,25,IN,NNS,CD,CD,NN
one,one,0,26,CD,IN,NNS,NN,","
day,day,0,27,NN,CD,IN,",",CC
",",",",0,28,",",NN,CD,CC,SYM
but,but,0,29,CC,",",NN,SYM,:
seventy,seventy,0,30,SYM,CC,",",:,CD
-,-,0,31,:,SYM,CC,CD,","
two,two,0,32,CD,:,SYM,",",CC
",",",",0,33,",",CD,:,CC,RB
or,or,0,34,CC,",",CD,RB,DT
even,even,0,35,RB,CC,",",DT,CD
a,a,0,36,DT,RB,CC,CD,","
hundred,hundred,0,37,CD,DT,RB,",",CC
",",",",0,38,",",CD,DT,CC,RB
or,or,0,39,CC,",",CD,RB,CD
even,even,0,40,RB,CC,",",CD,VBD
two,two,0,41,CD,RB,CC,VBD,NNS
hundred,hundred,0,42,VBD,CD,RB,NNS,","
times,time,0,43,NNS,VBD,CD,",",IN
",",",",0,44,",",NNS,VBD,IN,RB
without,without,0,45,IN,",",NNS,RB,VBG
ever,ever,0,46,RB,IN,",",VBG,TO
having,have,0,47,VBG,RB,IN,TO,VB
to,to,0,48,TO,VBG,RB,VB,PRP$
move,move,0,49,VB,TO,VBG,PRP$,NN
his,his,0,50,PRP$,VB,TO,NN,.
chair,chair,0,51,NN,PRP$,VB,.,N/A
.,.,0,52,.,NN,PRP$,N/A,N/A
And,and,0,0,CC,N/A,N/A,IN,PRP
because,because,0,1,IN,CC,N/A,PRP,VBD
he,he,0,2,PRP,IN,CC,VBD,DT
felt,felt,0,3,VBD,PRP,IN,DT,NN
a,a,0,4,DT,VBD,PRP,NN,JJ
bit,bit,0,5,NN,DT,VBD,JJ,IN
sad,sad,0,6,JJ,NN,DT,IN,PRP
as,a,0,7,IN,JJ,NN,PRP,VBD
he,he,0,8,PRP,IN,JJ,VBD,PRP$
remembered,remember,0,9,VBD,PRP,IN,PRP$,JJ
his,his,0,10,PRP$,VBD,PRP,JJ,NN
little,little,0,11,JJ,PRP$,VBD,NN,WDT
planet,planet,0,12,NN,JJ,PRP$,WDT,PRP
which,which,0,13,WDT,NN,JJ,PRP,VBD
he,he,0,14,PRP,WDT,NN,VBD,VBN
had,have,0,15,VBD,PRP,WDT,VBN,","
forsaken,forsaken,0,16,VBN,VBD,PRP,",",PRP
",",",",0,17,",",VBN,VBD,PRP,VBD
he,he,0,18,PRP,",",VBN,VBD,RP
plucked,plucked,0,19,VBD,PRP,",",RP,PRP$
up,up,0,20,RP,VBD,PRP,PRP$,NN
his,his,0,21,PRP$,RP,VBD,NN,TO
courage,courage,0,22,NN,PRP$,RP,TO,VB
to,to,0,23,TO,NN,PRP$,VB,DT
ask,ask,0,24,VB,TO,NN,DT,VBG
the,the,0,25,DT,VB,TO,VBG,DT
king,king,0,26,VBG,DT,VB,DT,NN
a,a,0,27,DT,VBG,DT,NN,:
favor,favor,0,28,NN,DT,VBG,:,``
:,:,0,29,:,NN,DT,``,PRP
``,``,0,30,``,:,NN,PRP,MD
I,i,0,31,PRP,``,:,MD,VB
should,should,0,32,MD,PRP,``,VB,TO
like,like,0,33,VB,MD,PRP,TO,VB
to,to,0,34,TO,VB,MD,VB,DT
see,see,0,35,VB,TO,VB,DT,NN
a,a,0,36,DT,VB,TO,NN,:
sunset,sunset,0,37,NN,DT,VB,:,VBP
...,...,0,38,:,NN,DT,VBP,PRP
do,do,0,39,VBP,:,NN,PRP,IN
me,me,0,40,PRP,VBP,:,IN,NN
that,that,0,41,IN,PRP,VBP,NN,:
kindness,kindness,0,42,NN,IN,PRP,:,N/A
...,...,0,43,:,NN,IN,N/A,N/A
Order,order,1,0,IN,N/A,N/A,DT,NN
the,the,0,1,DT,IN,N/A,NN,TO
sun,sun,0,2,NN,DT,IN,TO,VB
to,to,0,3,TO,NN,DT,VB,:
set,set,0,4,VB,TO,NN,:,``
...,...,0,5,:,VB,TO,``,N/A
``,``,0,6,``,:,VB,N/A,N/A
``,``,0,0,``,N/A,N/A,IN,PRP
If,if,0,1,IN,``,N/A,PRP,VBD
I,i,0,2,PRP,IN,``,VBD,DT
ordered,order,0,3,VBD,PRP,IN,DT,JJ
a,a,0,4,DT,VBD,PRP,JJ,TO
general,general,0,5,JJ,DT,VBD,TO,VB
to,to,0,6,TO,JJ,DT,VB,IN
fly,fly,0,7,VB,TO,JJ,IN,CD
from,from,0,8,IN,VB,TO,CD,NN
one,one,0,9,CD,IN,VB,NN,TO
flower,flower,0,10,NN,CD,IN,TO,DT
to,to,0,11,TO,NN,CD,DT,IN
another,another,0,12,DT,TO,NN,IN,DT
like,like,0,13,IN,DT,TO,DT,NN
a,a,0,14,DT,IN,DT,NN,","
butterfly,butterfly,0,15,NN,DT,IN,",",CC
",",",",0,16,",",NN,DT,CC,TO
or,or,0,17,CC,",",NN,TO,VB
to,to,0,18,TO,CC,",",VB,DT
write,write,0,19,VB,TO,CC,DT,JJ
a,a,0,20,DT,VB,TO,JJ,NN
tragic,tragic,0,21,JJ,DT,VB,NN,","
drama,drama,0,22,NN,JJ,DT,",",CC
",",",",0,23,",",NN,JJ,CC,TO
or,or,0,24,CC,",",NN,TO,VB
to,to,0,25,TO,CC,",",VB,PRP
change,change,0,26,VB,TO,CC,PRP,IN
himself,himself,0,27,PRP,VB,TO,IN,DT
into,into,0,28,IN,PRP,VB,DT,NN
a,a,0,29,DT,IN,PRP,NN,NN
sea,sea,0,30,NN,DT,IN,NN,","
bird,bird,0,31,NN,NN,DT,",",CC
",",",",0,32,",",NN,NN,CC,IN
and,and,0,33,CC,",",NN,IN,DT
if,if,0,34,IN,CC,",",DT,NN
the,the,0,35,DT,IN,CC,NN,VBD
general,general,0,36,NN,DT,IN,VBD,RB
did,do,0,37,VBD,NN,DT,RB,VB
not,not,0,38,RB,VBD,NN,VB,RP
carry,carry,0,39,VB,RB,VBD,RP,DT
out,out,0,40,RP,VB,RB,DT,NN
the,the,0,41,DT,RP,VB,NN,IN
order,order,0,42,NN,DT,RP,IN,PRP
that,that,0,43,IN,NN,DT,PRP,VBD
he,he,0,44,PRP,IN,NN,VBD,VBN
had,have,0,45,VBD,PRP,IN,VBN,","
received,receive,0,46,VBN,VBD,PRP,",",WDT
",",",",0,47,",",VBN,VBD,WDT,CD
which,which,0,48,WDT,",",VBN,CD,IN
one,one,0,49,CD,WDT,",",IN,PRP
of,of,0,50,IN,CD,WDT,PRP,MD
us,u,0,51,PRP,IN,CD,MD,VB
would,would,0,52,MD,PRP,IN,VB,IN
be,be,0,53,VB,MD,PRP,IN,DT
in,in,0,54,IN,VB,MD,DT,JJ
the,the,0,55,DT,IN,VB,JJ,.
wrong,wrong,0,56,JJ,DT,IN,.,``
?,?,0,57,.,JJ,DT,``,DT
``,``,0,58,``,.,JJ,DT,NN
the,the,0,59,DT,``,.,NN,VBD
king,king,0,60,NN,DT,``,VBD,.
demanded,demand,1,61,VBD,NN,DT,.,N/A
.,.,0,62,.,VBD,NN,N/A,N/A
``,``,0,0,``,N/A,N/A,DT,JJ
The,the,0,1,DT,``,N/A,JJ,","
general,general,0,2,JJ,DT,``,",",CC
",",",",0,3,",",JJ,DT,CC,PRP
or,or,1,4,CC,",",JJ,PRP,.
myself,myself,0,5,PRP,CC,",",.,``
?,?,0,6,.,PRP,CC,``,N/A
``,``,0,7,``,.,PRP,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,","
You,you,0,1,PRP,``,N/A,",",``
",",",",0,2,",",PRP,``,``,VBD
``,``,0,3,``,",",PRP,VBD,DT
said,say,1,4,VBD,``,",",DT,JJ
the,the,0,5,DT,VBD,``,JJ,NN
little,little,0,6,JJ,DT,VBD,NN,RB
prince,prince,0,7,NN,JJ,DT,RB,.
firmly,firmly,0,8,RB,NN,JJ,.,N/A
.,.,0,9,.,RB,NN,N/A,N/A
``,``,0,0,``,N/A,N/A,RB,.
Exactly,exactly,0,1,RB,``,N/A,.,N/A
.,.,0,2,.,RB,``,N/A,N/A
One,one,0,0,CD,N/A,N/A,JJ,NN
much,much,0,1,JJ,CD,N/A,NN,IN
require,require,0,2,NN,JJ,CD,IN,DT
from,from,0,3,IN,NN,JJ,DT,CD
each,each,0,4,DT,IN,NN,CD,DT
one,one,0,5,CD,DT,IN,DT,NN
the,the,0,6,DT,CD,DT,NN,WDT
duty,duty,0,7,NN,DT,CD,WDT,DT
which,which,0,8,WDT,NN,DT,DT,CD
each,each,0,9,DT,WDT,NN,CD,MD
one,one,0,10,CD,DT,WDT,MD,VB
can,can,0,11,MD,CD,DT,VB,","
perform,perform,0,12,VB,MD,CD,",",``
",",",",0,13,",",VB,MD,``,DT
``,``,0,14,``,",",VB,DT,NN
the,the,0,15,DT,``,",",NN,VBD
king,king,0,16,NN,DT,``,VBD,IN
went,go,0,17,VBD,NN,DT,IN,.
on,on,0,18,IN,VBD,NN,.,N/A
.,.,0,19,.,IN,VBD,N/A,N/A
``,``,0,0,``,N/A,N/A,JJ,NN
Accepted,accepted,0,1,JJ,``,N/A,NN,VBZ
authority,authority,0,2,NN,JJ,``,VBZ,RB
rests,rest,1,3,VBZ,NN,JJ,RB,IN
first,first,0,4,RB,VBZ,NN,IN,DT
of,of,0,5,IN,RB,VBZ,DT,IN
all,all,0,6,DT,IN,RB,IN,NN
on,on,0,7,IN,DT,IN,NN,.
reason,reason,0,8,NN,IN,DT,.,N/A
.,.,0,9,.,NN,IN,N/A,N/A
If,if,0,0,IN,N/A,N/A,PRP,VBD
you,you,0,1,PRP,IN,N/A,VBD,PRP$
ordered,order,0,2,VBD,PRP,IN,PRP$,NNS
your,your,0,3,PRP$,VBD,PRP,NNS,TO
people,people,0,4,NNS,PRP$,VBD,TO,VB
to,to,0,5,TO,NNS,PRP$,VB,CC
go,go,0,6,VB,TO,NNS,CC,VB
and,and,0,7,CC,VB,TO,VB,PRP
throw,throw,0,8,VB,CC,VB,PRP,IN
themselves,themselves,0,9,PRP,VB,CC,IN,DT
into,into,0,10,IN,PRP,VB,DT,NN
the,the,0,11,DT,IN,PRP,NN,","
sea,sea,0,12,NN,DT,IN,",",PRP
",",",",0,13,",",NN,DT,PRP,MD
they,they,0,14,PRP,",",NN,MD,VB
would,would,0,15,MD,PRP,",",VB,RP
rise,rise,0,16,VB,MD,PRP,RP,IN
up,up,0,17,RP,VB,MD,IN,NN
in,in,0,18,IN,RP,VB,NN,.
revolution,revolution,0,19,NN,IN,RP,.,N/A
.,.,0,20,.,NN,IN,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBP,DT
have,have,0,1,VBP,PRP,N/A,DT,NN
the,the,0,2,DT,VBP,PRP,NN,TO
right,right,1,3,NN,DT,VBP,TO,VB
to,to,0,4,TO,NN,DT,VB,NN
require,require,0,5,VB,TO,NN,NN,IN
obedience,obedience,0,6,NN,VB,TO,IN,PRP$
because,because,0,7,IN,NN,VB,PRP$,NNS
my,my,0,8,PRP$,IN,NN,NNS,VBP
orders,order,0,9,NNS,PRP$,IN,VBP,JJ
are,be,0,10,VBP,NNS,PRP$,JJ,.
reasonable,reasonable,0,11,JJ,VBP,NNS,.,``
.,.,0,12,.,JJ,VBP,``,N/A
``,``,0,13,``,.,JJ,N/A,N/A
``,``,0,0,``,N/A,N/A,RB,PRP$
Then,then,0,1,RB,``,N/A,PRP$,NN
my,my,0,2,PRP$,RB,``,NN,.
sunset,sunset,0,3,NN,PRP$,RB,.,``
?,?,0,4,.,NN,PRP$,``,DT
``,``,0,5,``,.,NN,DT,JJ
the,the,0,6,DT,``,.,JJ,NN
little,little,0,7,JJ,DT,``,NN,VBD
prince,prince,0,8,NN,JJ,DT,VBD,PRP
reminded,remind,1,9,VBD,NN,JJ,PRP,:
him,him,0,10,PRP,VBD,NN,:,IN
:,:,0,11,:,PRP,VBD,IN,PRP
for,for,0,12,IN,:,PRP,PRP,RB
he,he,0,13,PRP,IN,:,RB,VBD
never,never,0,14,RB,PRP,IN,VBD,DT
forgot,forgot,0,15,VBD,RB,PRP,DT,NN
a,a,0,16,DT,VBD,RB,NN,RB
question,question,0,17,NN,DT,VBD,RB,PRP
once,once,0,18,RB,NN,DT,PRP,VBD
he,he,0,19,PRP,RB,NN,VBD,VBN
had,have,0,20,VBD,PRP,RB,VBN,PRP
asked,ask,0,21,VBN,VBD,PRP,PRP,.
it,it,0,22,PRP,VBN,VBD,.,N/A
.,.,0,23,.,PRP,VBN,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,MD
You,you,0,1,PRP,``,N/A,MD,VB
shall,shall,0,2,MD,PRP,``,VB,PRP$
have,have,1,3,VB,MD,PRP,PRP$,NN
your,your,0,4,PRP$,VB,MD,NN,.
sunset,sunset,0,5,NN,PRP$,VB,.,N/A
.,.,0,6,.,NN,PRP$,N/A,N/A
I,i,0,0,PRP,N/A,N/A,MD,VB
shall,shall,0,1,MD,PRP,N/A,VB,PRP
command,command,1,2,VB,MD,PRP,PRP,.
it,it,0,3,PRP,VB,MD,.,N/A
.,.,0,4,.,PRP,VB,N/A,N/A
But,but,0,0,CC,N/A,N/A,",",VBG
",",",",0,1,",",CC,N/A,VBG,TO
according,accord,0,2,VBG,",",CC,TO,PRP$
to,to,0,3,TO,VBG,",",PRP$,NN
my,my,0,4,PRP$,TO,VBG,NN,IN
science,science,0,5,NN,PRP$,TO,IN,NN
of,of,0,6,IN,NN,PRP$,NN,","
government,government,0,7,NN,IN,NN,",",PRP
",",",",0,8,",",NN,IN,PRP,MD
I,i,0,9,PRP,",",NN,MD,VB
shall,shall,0,10,MD,PRP,",",VB,IN
wait,wait,0,11,VB,MD,PRP,IN,NNS
until,until,0,12,IN,VB,MD,NNS,VBP
conditions,condition,0,13,NNS,IN,VB,VBP,JJ
are,be,0,14,VBP,NNS,IN,JJ,.
favorable,favorable,0,15,JJ,VBP,NNS,.,``
.,.,0,16,.,JJ,VBP,``,N/A
``,``,0,17,``,.,JJ,N/A,N/A
``,``,0,0,``,N/A,N/A,WRB,MD
When,when,0,1,WRB,``,N/A,MD,IN
will,will,0,2,MD,WRB,``,IN,VB
that,that,0,3,IN,MD,WRB,VB,.
be,be,0,4,VB,IN,MD,.,``
?,?,0,5,.,VB,IN,``,VBD
``,``,0,6,``,.,VB,VBD,DT
inquired,inquire,1,7,VBD,``,.,DT,JJ
the,the,0,8,DT,VBD,``,JJ,NN
little,little,0,9,JJ,DT,VBD,NN,.
prince,prince,0,10,NN,JJ,DT,.,N/A
.,.,0,11,.,NN,JJ,N/A,N/A
``,``,0,0,``,N/A,N/A,NN,.
Hum,hum,1,1,NN,``,N/A,.,N/A
!,!,0,2,.,NN,``,N/A,N/A
Hum,hum,0,0,NN,N/A,N/A,.,``
!,!,0,1,.,NN,N/A,``,VBD
``,``,0,2,``,.,NN,VBD,DT
replied,reply,0,3,VBD,``,.,DT,NN
the,the,0,4,DT,VBD,``,NN,:
king,king,0,5,NN,DT,VBD,:,CC
;,;,0,6,:,NN,DT,CC,IN
and,and,1,7,CC,:,NN,IN,VBG
before,before,0,8,IN,CC,:,VBG,NN
saying,say,0,9,VBG,IN,CC,NN,RB
anything,anything,0,10,NN,VBG,IN,RB,PRP
else,else,0,11,RB,NN,VBG,PRP,VBD
he,he,0,12,PRP,RB,NN,VBD,DT
